Name,City,State,Control,Homepage URL,Rank
Harvard University,Cambridge,MA,Private not-for-profit,https://www.harvard.edu/,4
Stanford University,Stanford,CA,Private not-for-profit,https://www.stanford.edu/,5
University of Chicago,Chicago,IL,Private not-for-profit,https://www.uchicago.edu,11
University of Pennsylvania,Philadelphia,PA,Private not-for-profit,https://www.upenn.edu,12
Cornell University,Ithaca,NY,Private not-for-profit,https://www.cornell.edu/,13
Yale University,New Haven,CT,Private not-for-profit,https://www.yale.edu,16
Princeton University,Princeton,NJ,Private not-for-profit,https://www.princeton.edu/,17
Johns Hopkins University,Baltimore,MD,Private not-for-profit,https://www.jhu.edu/,28
University of Michigan-Ann Arbor,Ann Arbor,MI,Public,https://www.umich.edu,33
Northwestern University,Evanston,IL,Private not-for-profit,https://www.northwestern.edu/,47
Carnegie Mellon University,Pittsburgh,PA,Private not-for-profit,https://www.cmu.edu/,52
Duke University,Durham,NC,Private not-for-profit,https://duke.edu/,57
Brown University,Providence,RI,Private not-for-profit,https://www.brown.edu/,73
Boston University,Boston,MA,Private not-for-profit,https://www.bu.edu/homepage-alt/,93
Purdue University,West Lafayette,IN,Public,https://www.purdue.edu/,99
University of Wisconsin-Madison,Madison,WI,Public,https://www.wisc.edu,102
University of Southern California,Los Angeles,CA,Private not-for-profit,https://www.usc.edu,116
"University of California, Davis",Davis,CA,Public,https://www.ucdavis.edu,118
Michigan State University,East Lansing,MI,Public,https://msu.edu/,136
Rice University,Houston,TX,Private not-for-profit,https://www.rice.edu/,145
Emory University,Atlanta,GA,Private not-for-profit,https://www.emory.edu/home/index.html,166
University of Florida,Gainesville,FL,Public,https://www.ufl.edu,168
Arizona State University,Tempe,AZ,Public,https://www.asu.edu/,179
University of Rochester,Rochester,NY,Private not-for-profit,https://www.rochester.edu,224
Dartmouth College,Hanover,NH,Private not-for-profit,https://home.dartmouth.edu/dartmouth,237
Case Western Reserve University,Cleveland,OH,Private not-for-profit,https://case.edu/,255
Vanderbilt University,Nashville,TN,Private not-for-profit,https://www.vanderbilt.edu,261
University of Colorado Boulder,Boulder,CO,Public,https://www.colorado.edu,264
"University of California, Irvine",Irvine,CA,Public,https://www.uci.edu,268
University of Miami,Coral Gables,FL,Private not-for-profit,https://www.miami.edu,278
Georgetown University,Washington,DC,Private not-for-profit,https://www.georgetown.edu/,297
Virginia Polytechnic Institute and State University,Blacksburg,VA,Public,https://www.vt.edu,302
University of Notre Dame,Notre Dame,IN,Private not-for-profit,https://www.nd.edu,304
Indiana University Bloomington,Bloomington,IN,Public,https://bloomington.iu.edu/,313
"University of California, Santa Cruz",Santa Cruz,CA,Public,https://www.ucsc.edu,332
George Washington University,Washington,DC,Private not-for-profit,https://www.gwu.edu/,340
Yeshiva University,New York,NY,Private (non-profit),https://www.yu.edu,369
Northeastern University,Boston,MA,Private not-for-profit,https://www.northeastern.edu/,375
Tufts University,Medford,MA,Private not-for-profit,https://www.tufts.edu/,379
Iowa State University,Ames,IA,Public,https://www.iastate.edu/,400
"University of California, Riverside",Riverside,CA,Public,https://www.ucr.edu,404
University of Kansas,Lawrence,KS,Public,https://www.ku.edu,410
Washington State University,Pullman,WA,Public,https://www.wsu.edu,419
University of Utah,Salt Lake City,UT,Public,https://www.utah.edu,441
University of Connecticut,Storrs,CT,Public,https://www.uconn.edu,444
Florida State University,Tallahassee,FL,Public,https://www.fsu.edu/,461
Colorado School of Mines,Golden,CO,Public,https://www.mines.edu/,465
Illinois Institute of Technology,Chicago,IL,Private (non-profit),https://www.iit.edu,469
Missouri University of Science and Technology,Rolla,MO,Public,https://futurestudents.mst.edu/admissions/,480
University of Iowa,Iowa City,IA,Public,https://www.uiowa.edu,491
Rensselaer Polytechnic Institute,Troy,NY,Private not-for-profit,https://www.rpi.edu/,494
University of Delaware,Newark,DE,Public,https://www.udel.edu,498
Oregon State University,Corvallis,OR,Public,https://oregonstate.edu/,505
Lehigh University,Bethlehem,PA,Private not-for-profit,https://www2.lehigh.edu/,548
Florida International University,Miami,FL,Public,https://www.fiu.edu/,556
University of South Florida,Tampa,FL,Public,https://www.usf.edu,563
University of Central Florida,Orlando,FL,Public,https://www.ucf.edu,593
Drexel University,Philadelphia,PA,Private not-for-profit,https://drexel.edu/,601-610
Stevens Institute of Technology,Hoboken,NJ,Private (non-profit),https://www.stevens.edu/,621-630
Boston College,Chestnut Hill,MA,Private not-for-profit,https://www.bc.edu/,631-640
University of Houston,Houston,TX,Public,https://www.uh.edu,641-650
The New School,New York[a],NY,Private (non-profit),https://www.newschool.edu,641-650
Brandeis University,Waltham,MA,Private not-for-profit,https://www.brandeis.edu/,661-670
University of Kentucky,Lexington,KY,Public,https://www.uky.edu,681-690
University of Cincinnati,Cincinnati,OH,Public,https://www.uc.edu,691-700
Wake Forest University,Winston-Salem,NC,Private (non-profit),https://www.wfu.edu,701-710
Temple University,Philadelphia,PA,Public,https://www.temple.edu/,721-730
University of Oregon,Eugene,OR,Public,https://www.uoregon.edu,721-730
Wayne State University,Detroit,MI,Public,https://www.wayne.edu,751-760
Virginia Commonwealth University,Richmond,VA,Public,https://www.vcu.edu,761-770
Rutgers University–Newark,Newark,NJ,Public,https://www.newark.rutgers.edu,771-780
University of Alaska Fairbanks,Fairbanks,AK,Public,https://www.uaf.edu,781-790
Syracuse University,Syracuse,NY,Private not-for-profit,https://www.syracuse.edu/,781-790
Clarkson University,Potsdam,NY,Private (non-profit),https://www.clarkson.edu,791-800
American University,Washington,DC,Private not-for-profit,https://www.american.edu/,791-800
Clark University,Worcester,MA,Private (non-profit),https://www.clarku.edu,801-850
