Name,City,State,Control
American University,Washington,DC,Private not-for-profit
Arizona State University,Tempe,AZ,Public
Auburn University,Auburn,AL,Public
Baylor College of Medicine,Houston,TX,Private not-for-profit
Baylor University,Waco,TX,Private not-for-profit
Binghamton University,Vestal,NY,Public
Boston College,Chestnut Hill,MA,Private not-for-profit
Boston University,Boston,MA,Private not-for-profit
Brandeis University,Waltham,MA,Private not-for-profit
Brigham Young University,Provo,UT,Private not-for-profit
Brown University,Providence,RI,Private not-for-profit
California Institute of Technology,Pasadena,CA,Private not-for-profit
Carnegie Mellon University,Pittsburgh,PA,Private not-for-profit
Case Western Reserve University,Cleveland,OH,Private not-for-profit
Catholic University of America,Washington,DC,Private not-for-profit
Clemson University,Clemson,SC,Public
Colorado School of Mines,Golden,CO,Public
Colorado State University-Fort Collins,Fort Collins,CO,Public
Columbia University in the City of New York,New York,NY,Private not-for-profit
Cornell University,Ithaca,NY,Private not-for-profit
CUNY Graduate School and University Center,New York,NY,Public
Dartmouth College,Hanover,NH,Private not-for-profit
Drexel University,Philadelphia,PA,Private not-for-profit
Duke University,Durham,NC,Private not-for-profit
East Carolina University,Greenville,NC,Public
Emory University,Atlanta,GA,Private not-for-profit
Florida Atlantic University,Boca Raton,FL,Public
Florida International University,Miami,FL,Public
Florida State University,Tallahassee,FL,Public
George Mason University,Fairfax,VA,Public
George Washington University,Washington,DC,Private not-for-profit
Georgetown University,Washington,DC,Private not-for-profit
Georgia Institute of Technology-Main Campus,Atlanta,GA,Public
Georgia State University,Atlanta,GA,Public
Harvard University,Cambridge,MA,Private not-for-profit
Howard University,Washington,DC,Private not-for-profit
Indiana University Bloomington,Bloomington,IN,Public
Indiana University Indianapolis,Indianapolis,IN,Public
Iowa State University,Ames,IA,Public
Johns Hopkins University,Baltimore,MD,Private not-for-profit
Kansas State University,Manhattan,KS,Public
Kent State University at Kent,Kent,OH,Public
Lehigh University,Bethlehem,PA,Private not-for-profit
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,Public
Loyola University Chicago,Chicago,IL,Private not-for-profit
Massachusetts Institute of Technology,Cambridge,MA,Private not-for-profit
Medical University of South Carolina,Charleston,SC,Public
Michigan State University,East Lansing,MI,Public
Michigan Technological University,Houghton,MI,Public
Mississippi State University,Mississippi State,MS,Public
Missouri University of Science and Technology,Rolla,MO,Public
Montana State University,Bozeman,MT,Public
New Jersey Institute of Technology,Newark,NJ,Public
New Mexico State University-Main Campus,Las Cruces,NM,Public
New York University,New York,NY,Private not-for-profit
North Carolina State University at Raleigh,Raleigh,NC,Public
North Dakota State University-Main Campus,Fargo,ND,Public
Northeastern University,Boston,MA,Private not-for-profit
Northern Arizona University,Flagstaff,AZ,Public
Northwestern University,Evanston,IL,Private not-for-profit
Nova Southeastern University,Fort Lauderdale,FL,Private not-for-profit
Ohio State University-Main Campus,Columbus,OH,Public
Ohio University-Main Campus,Athens,OH,Public
Oklahoma State University,Stillwater,OK,Public
Old Dominion University,Norfolk,VA,Public
Oregon State University,Corvallis,OR,Public
Princeton University,Princeton,NJ,Private not-for-profit
Purdue University,West Lafayette,IN,Public
Rensselaer Polytechnic Institute,Troy,NY,Private not-for-profit
Rice University,Houston,TX,Private not-for-profit
Rutgers University-New Brunswick,New Brunswick,NJ,Public
Saint Louis University,Saint Louis,MO,Private not-for-profit
San Diego State University,San Diego,CA,Public
Southern Illinois University-Carbondale,Carbondale,IL,Public
Southern Methodist University,Dallas,TX,Private not-for-profit
Stanford University,Stanford,CA,Private not-for-profit
Stony Brook University,Stony Brook,NY,Public
Syracuse University,Syracuse,NY,Private not-for-profit
Temple University,Philadelphia,PA,Public
Texas A & M University-College Station,College Station,TX,Public
Texas Tech University,Lubbock,TX,Public
The Pennsylvania State University,University Park,PA,Public
The University of Alabama,Tuscaloosa,AL,Public
The University of Montana,Missoula,MT,Public
The University of Tennessee Health Science Center,Memphis,TN,Public
The University of Tennessee-Knoxville,Knoxville,TN,Public
The University of Texas at Arlington,Arlington,TX,Public
The University of Texas at Austin,Austin,TX,Public
The University of Texas at Dallas,Richardson,TX,Public
The University of Texas at El Paso,El Paso,TX,Public
The University of Texas at San Antonio,San Antonio,TX,Public
The University of Texas Health Science Center at Houston,Houston,TX,Public
The University of Texas Health Science Center at San Antonio,San Antonio,TX,Public
Tufts University,Medford,MA,Private not-for-profit
Tulane University of Louisiana,New Orleans,LA,Private not-for-profit
University at Albany,Albany,NY,Public
University at Buffalo,Buffalo,NY,Public
University of Alabama at Birmingham,Birmingham,AL,Public
University of Arizona,Tucson,AZ,Public
University of Arkansas,Fayetteville,AR,Public
"University of California, Berkeley",Berkeley,CA,Public
"University of California, Davis",Davis,CA,Public
"University of California, Irvine",Irvine,CA,Public
"University of California, Los Angeles",Los Angeles,CA,Public
"University of California, Merced",Merced,CA,Public
"University of California, Riverside",Riverside,CA,Public
"University of California, San Diego",La Jolla,CA,Public
"University of California, San Francisco",San Francisco,CA,Public
"University of California, Santa Barbara",Santa Barbara,CA,Public
"University of California, Santa Cruz",Santa Cruz,CA,Public
University of Central Florida,Orlando,FL,Public
University of Chicago,Chicago,IL,Private not-for-profit
University of Cincinnati,Cincinnati,OH,Public
University of Colorado Boulder,Boulder,CO,Public
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,Public
University of Connecticut,Storrs,CT,Public
University of Dayton,Dayton,OH,Private not-for-profit
University of Delaware,Newark,DE,Public
University of Denver,Denver,CO,Private not-for-profit
University of Florida,Gainesville,FL,Public
University of Georgia,Athens,GA,Public
University of Hawaii at Manoa,Honolulu,HI,Public
University of Houston,Houston,TX,Public
University of Idaho,Moscow,ID,Public
University of Illinois Chicago,Chicago,IL,Public
University of Illinois Urbana-Champaign,Champaign,IL,Public
University of Iowa,Iowa City,IA,Public
University of Kansas,Lawrence,KS,Public
University of Kentucky,Lexington,KY,Public
University of Louisiana at Lafayette,Lafayette,LA,Public
University of Louisville,Louisville,KY,Public
University of Maine,Orono,ME,Public
University of Maryland-Baltimore County,Baltimore,MD,Public
University of Maryland-College Park,College Park,MD,Public
"University of Maryland, Baltimore",Baltimore,MD,Public
University of Massachusetts-Amherst,Amherst,MA,Public
University of Massachusetts-Boston,Boston,MA,Public
University of Massachusetts-Lowell,Lowell,MA,Public
University of Memphis,Memphis,TN,Public
University of Miami,Coral Gables,FL,Private not-for-profit
University of Michigan-Ann Arbor,Ann Arbor,MI,Public
University of Minnesota-Twin Cities,Minneapolis,MN,Public
University of Mississippi,University,MS,Public
University of Missouri-Columbia,Columbia,MO,Public
University of Missouri-Kansas City,Kansas City,MO,Public
University of Nebraska Medical Center,Omaha,NE,Public
University of Nebraska-Lincoln,Lincoln,NE,Public
University of Nevada-Las Vegas,Las Vegas,NV,Public
University of Nevada-Reno,Reno,NV,Public
University of New Hampshire-Main Campus,Durham,NH,Public
University of New Mexico-Main Campus,Albuquerque,NM,Public
University of North Carolina at Chapel Hill,Chapel Hill,NC,Public
University of North Carolina at Charlotte,Charlotte,NC,Public
University of North Dakota,Grand Forks,ND,Public
University of North Texas,Denton,TX,Public
University of Notre Dame,Notre Dame,IN,Private not-for-profit
University of Oklahoma-Norman Campus,Norman,OK,Public
University of Oregon,Eugene,OR,Public
University of Pennsylvania,Philadelphia,PA,Private not-for-profit
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,Public
University of Rhode Island,Kingston,RI,Public
University of Rochester,Rochester,NY,Private not-for-profit
University of South Carolina-Columbia,Columbia,SC,Public
University of South Florida,Tampa,FL,Public
University of Southern California,Los Angeles,CA,Private not-for-profit
University of Southern Mississippi,Hattiesburg,MS,Public
University of Texas Southwestern Medical Center,Dallas,TX,Public
University of Toledo,Toledo,OH,Public
University of Utah,Salt Lake City,UT,Public
University of Vermont,Burlington,VT,Public
University of Virginia-Main Campus,Charlottesville,VA,Public
University of Washington-Seattle Campus,Seattle,WA,Public
University of Wisconsin-Madison,Madison,WI,Public
University of Wisconsin-Milwaukee,Milwaukee,WI,Public
University of Wyoming,Laramie,WY,Public
Utah State University,Logan,UT,Public
Vanderbilt University,Nashville,TN,Private not-for-profit
Virginia Commonwealth University,Richmond,VA,Public
Virginia Polytechnic Institute and State University,Blacksburg,VA,Public
Washington State University,Pullman,WA,Public
Washington University in St Louis,Saint Louis,MO,Private not-for-profit
Wayne State University,Detroit,MI,Public
Weill Cornell Medicine of Cornell University,New York,NY,Private not-for-profit
West Virginia University,Morgantown,WV,Public
William & Mary,Williamsburg,VA,Public
Worcester Polytechnic Institute,Worcester,MA,Private not-for-profit
Yale University,New Haven,CT,Private not-for-profit
Abilene Christian University,Abilene,TX,Private (non-profit)
Air Force Institute of Technology Graduate School of Engineering & Management,Wright-Patterson AFB,OH,Public
Albert Einstein College of Medicine,Bronx,NY,Private (non-profit)
Appalachian State University,Boone,NC,Public
Arkansas State University,Jonesboro,AR,Public
Augusta University,Augusta,GA,Public
Azusa Pacific University,Azusa,CA,Private (non-profit)
Ball State University,Muncie,IN,Public
Boise State University,Boise,ID,Public
Bowling Green State University,Bowling Green,OH,Public
"California State Polytechnic University, Pomona",Pomona,CA,Public
"California State University, Fresno",Fresno,CA,Public
"California State University, Fullerton",Fullerton,CA,Public
"California State University, Long Beach",Long Beach,CA,Public
"California State University, Los Angeles",Los Angeles,CA,Public
"California State University, Sacramento",Sacramento,CA,Public
Central Michigan University,Mount Pleasant,MI,Public
Chapman University,Orange,CA,Private (non-profit)
Claremont Graduate University,Claremont,CA,Private (non-profit)
