Name,City,State,Control,Homepage URL
American University,Washington,DC,Private not-for-profit,https://www.american.edu/
Arizona State University,Tempe,AZ,Public,https://www.asu.edu/
Auburn University,Auburn,AL,Public,https://www.auburn.edu/
Baylor College of Medicine,Houston,TX,Private not-for-profit,https://www.bcm.edu/
Baylor University,Waco,TX,Private not-for-profit,https://www.baylor.edu/
Binghamton University,Vestal,NY,Public,https://www.binghamton.edu/
Boston College,Chestnut Hill,MA,Private not-for-profit,https://www.bc.edu/
Boston University,Boston,MA,Private not-for-profit,https://www.bu.edu/homepage-alt/
Brandeis University,Waltham,MA,Private not-for-profit,https://www.brandeis.edu/
Brigham Young University,Provo,UT,Private not-for-profit,https://www.byu.edu/
Brown University,Providence,RI,Private not-for-profit,https://www.brown.edu/
California Institute of Technology,Pasadena,CA,Private not-for-profit,https://en.wikipedia.org/wiki/California_Institute_of_Technology
Carnegie Mellon University,Pittsburgh,PA,Private not-for-profit,https://www.cmu.edu/
Case Western Reserve University,Cleveland,OH,Private not-for-profit,https://case.edu/
Catholic University of America,Washington,DC,Private not-for-profit,https://www.catholic.edu/
Clemson University,Clemson,SC,Public,https://www.clemson.edu/index.html
Colorado School of Mines,Golden,CO,Public,https://www.mines.edu/
Colorado State University-Fort Collins,Fort Collins,CO,Public,https://www.colostate.edu/
Columbia University in the City of New York,New York,NY,Private not-for-profit,https://www.columbia.edu/
Cornell University,Ithaca,NY,Private not-for-profit,https://www.cornell.edu/
CUNY Graduate School and University Center,New York,NY,Public,https://www.gc.cuny.edu/
Dartmouth College,Hanover,NH,Private not-for-profit,https://home.dartmouth.edu/dartmouth
Drexel University,Philadelphia,PA,Private not-for-profit,https://drexel.edu/
Duke University,Durham,NC,Private not-for-profit,https://duke.edu/
East Carolina University,Greenville,NC,Public,https://www.ecu.edu/
Emory University,Atlanta,GA,Private not-for-profit,https://www.emory.edu/home/index.html
Florida Atlantic University,Boca Raton,FL,Public,https://www.fau.edu/
Florida International University,Miami,FL,Public,https://www.fiu.edu/
Florida State University,Tallahassee,FL,Public,https://www.fsu.edu/
George Mason University,Fairfax,VA,Public,https://www.gmu.edu/
George Washington University,Washington,DC,Private not-for-profit,https://www.gwu.edu/
Georgetown University,Washington,DC,Private not-for-profit,https://www.georgetown.edu/
Georgia Institute of Technology-Main Campus,Atlanta,GA,Public,https://gatech.edu/node/1
Georgia State University,Atlanta,GA,Public,https://www.gsu.edu/
Harvard University,Cambridge,MA,Private not-for-profit,https://www.harvard.edu/
Howard University,Washington,DC,Private not-for-profit,https://howard.edu/
Indiana University Bloomington,Bloomington,IN,Public,https://bloomington.iu.edu/
Indiana University Indianapolis,Indianapolis,IN,Public,https://indianapolis.iu.edu/
Iowa State University,Ames,IA,Public,https://www.iastate.edu/
Johns Hopkins University,Baltimore,MD,Private not-for-profit,https://www.jhu.edu/
Kansas State University,Manhattan,KS,Public,https://www.k-state.edu/
Kent State University at Kent,Kent,OH,Public,https://www.kent.edu/
